,Product Manager,Business Analyst,Data Scientist,Database Administrator
398,0.015,0.03,0.935,0.02
399,0.045,0.025,0.9,0.03
400,0.515,0.285,0.05,0.15
401,0.105,0.095,0.765,0.035
402,0.075,0.075,0.82,0.03
403,0.015,0.04,0.93,0.015
404,0.03,0.175,0.75,0.045
405,0.015,0.02,0.93,0.035
406,1.0,0.0,0.0,0.0
407,0.69,0.125,0.045,0.14
408,0.67,0.285,0.015,0.03
409,0.845,0.12,0.005,0.03
410,0.805,0.155,0.015,0.025
411,0.025,0.03,0.01,0.935
412,0.015,0.015,0.035,0.935
413,0.0,0.03,0.01,0.96
414,0.0,0.01,0.015,0.975
415,0.15,0.275,0.2,0.375
416,0.08,0.11,0.03,0.78
417,0.065,0.21,0.035,0.69
418,0.055,0.255,0.015,0.675
419,0.08,0.09,0.055,0.775
420,0.035,0.05,0.03,0.885
421,0.03,0.015,0.94,0.015
422,0.015,0.045,0.91,0.03
423,0.06,0.06,0.725,0.155
424,0.945,0.035,0.015,0.005
425,0.955,0.025,0.0,0.02
426,0.86,0.075,0.045,0.02
427,0.955,0.03,0.0,0.015
428,0.39,0.375,0.07,0.165
429,0.975,0.015,0.005,0.005
430,0.81,0.135,0.02,0.035
431,0.94,0.03,0.015,0.015
432,0.68,0.29,0.015,0.015
433,0.92,0.04,0.02,0.02
434,0.68,0.03,0.27,0.02
435,0.72,0.18,0.08,0.02
436,0.145,0.73,0.075,0.05
437,0.05,0.805,0.105,0.04
438,0.235,0.385,0.13,0.25
439,0.065,0.71,0.22,0.005
440,0.11,0.755,0.065,0.07
441,0.185,0.645,0.155,0.015
442,0.08,0.865,0.025,0.03
443,0.115,0.825,0.02,0.04
444,0.16,0.82,0.02,0.0
445,0.06,0.77,0.12,0.05
446,0.27,0.705,0.02,0.005
447,0.065,0.75,0.085,0.1
448,0.03,0.83,0.12,0.02
449,0.05,0.91,0.02,0.02
450,0.055,0.92,0.02,0.005
451,0.025,0.94,0.015,0.02
452,0.08,0.145,0.755,0.02
453,0.03,0.045,0.865,0.06
454,0.015,0.05,0.925,0.01
455,0.045,0.01,0.945,0.0
456,0.01,0.04,0.945,0.005
457,0.24,0.08,0.6,0.08
458,0.04,0.03,0.845,0.085
459,0.105,0.17,0.67,0.055
460,0.02,0.1,0.785,0.095
461,0.055,0.07,0.83,0.045
462,0.19,0.255,0.4,0.155
463,0.01,0.0,0.98,0.01
464,0.045,0.065,0.85,0.04
465,0.915,0.06,0.025,0.0
466,0.955,0.03,0.0,0.015
467,0.9,0.06,0.03,0.01
468,0.935,0.045,0.01,0.01
469,0.805,0.085,0.04,0.07
470,0.78,0.085,0.095,0.04
471,0.825,0.145,0.015,0.015
472,0.92,0.04,0.01,0.03
473,0.885,0.055,0.045,0.015
474,0.655,0.28,0.05,0.015
475,0.91,0.075,0.01,0.005
476,0.895,0.075,0.025,0.005
477,0.895,0.04,0.025,0.04
478,0.08,0.105,0.09,0.725
479,0.015,0.02,0.015,0.95
480,0.04,0.095,0.015,0.85
481,0.015,0.02,0.015,0.95
482,0.06,0.105,0.07,0.765
483,0.025,0.05,0.085,0.84
484,0.045,0.04,0.13,0.785
485,0.03,0.06,0.0,0.91
486,0.03,0.06,0.0,0.91
487,0.0,0.05,0.045,0.905
488,0.07,0.09,0.065,0.775
489,0.025,0.06,0.05,0.865
490,0.245,0.26,0.195,0.3
491,0.03,0.08,0.02,0.87
492,0.055,0.15,0.03,0.765
493,0.16,0.07,0.065,0.705
494,0.0,0.03,0.005,0.965
495,0.025,0.92,0.035,0.02
496,0.19,0.76,0.025,0.025
497,0.105,0.795,0.05,0.05
498,0.16,0.73,0.07,0.04
499,0.055,0.895,0.015,0.035
500,0.09,0.755,0.13,0.025
501,0.035,0.785,0.135,0.045
502,0.105,0.78,0.09,0.025
503,0.02,0.905,0.03,0.045
504,0.07,0.86,0.035,0.035
505,0.14,0.695,0.11,0.055
506,0.135,0.795,0.03,0.04
507,0.05,0.895,0.035,0.02
508,0.02,0.76,0.19,0.03
509,0.055,0.835,0.05,0.06
510,0.06,0.86,0.06,0.02
511,0.015,0.97,0.005,0.01
512,0.075,0.185,0.715,0.025
513,0.235,0.03,0.71,0.025
514,0.075,0.025,0.875,0.025
515,0.175,0.085,0.715,0.025
516,0.17,0.08,0.615,0.135
517,0.14,0.105,0.72,0.035
518,0.01,0.035,0.935,0.02
519,0.105,0.13,0.655,0.11
520,0.14,0.105,0.72,0.035
521,0.02,0.055,0.915,0.01
522,0.08,0.04,0.815,0.065
523,0.04,0.045,0.885,0.03
524,0.78,0.11,0.045,0.065
525,0.98,0.015,0.005,0.0
526,0.93,0.03,0.025,0.015
527,0.725,0.135,0.01,0.13
528,0.755,0.11,0.075,0.06
529,0.915,0.035,0.02,0.03
530,0.92,0.06,0.005,0.015
531,0.885,0.095,0.005,0.015
532,0.655,0.08,0.11,0.155
