,Product Manager,Database Administrator,Data Engineer,Data Scientist,Data Analyst,Business Analyst,Data Architect
418,0.46,0.025,0.085,0.185,0.11,0.09,0.045
419,0.015,0.005,0.035,0.85,0.05,0.01,0.035
420,0.005,0.01,0.01,0.825,0.115,0.03,0.005
421,0.085,0.015,0.06666666666666667,0.7091666666666666,0.035,0.03,0.05916666666666666
422,0.0,0.005,0.005,0.945,0.03,0.005,0.01
423,0.005,0.02,0.015,0.83,0.09,0.035,0.005
424,0.0,0.005,0.005,0.945,0.03,0.005,0.01
425,0.025,0.005,0.015,0.875,0.035,0.025,0.02
426,0.01,0.035,0.705,0.01,0.025,0.13,0.085
427,0.36,0.02,0.055,0.27,0.13,0.145,0.02
428,0.03,0.07,0.6,0.025,0.075,0.11,0.09
429,0.005,0.105,0.715,0.01,0.01,0.105,0.05
430,0.02,0.07,0.085,0.35,0.26,0.14,0.075
431,0.095,0.025,0.645,0.0775,0.045,0.085,0.0275
432,0.12,0.145,0.285,0.065,0.095,0.17,0.12
433,0.115,0.025,0.72,0.04,0.02,0.05,0.03
434,0.02,0.025,0.795,0.045,0.03,0.03,0.055
435,0.0,0.0,0.01,0.35,0.61,0.0,0.03
436,0.085,0.06,0.015,0.01,0.735,0.095,0.0
437,0.025,0.01,0.04,0.655,0.2,0.04,0.03
438,0.01,0.015,0.005,0.055,0.83,0.05,0.035
439,0.02,0.075,0.045,0.005,0.585,0.245,0.025
440,0.005,0.05,0.025,0.015,0.775,0.105,0.025
441,0.025,0.03,0.025,0.01,0.74,0.11,0.06
